,Wards in Nairobi,Number of scrap dealers,Presence of open sewage,Sources of water(Borehole),no. of Industries
1397,Kayole Central,"""15","000""",36,0
1398,Lindi Makina,"""19","000""",91,0
1399,Starehe,"""40","500""",73,0
1400,Komarock,"""41","700""",92,0
1401,Kayole Central,"""16","000""",97,1
1402,Kware,"""41","600""",92,1
1403,Kware,"""22","000""",116,0
1404,Kariobangi South,"""19","000""",85,1
1405,Kabiro,"""43","600""",47,0
1406,Syokimau,"""15","000""",48,0
1407,Dandora Area III,"""19","000""",50,0
1408,Sarangombe,"""18","000""",98,0
1409,Gatina,"""90","017""",67,0
1410,Karen,"""27","000""",88,0
1411,Sarangombe,"""18","000""",86,0
1412,Makongeni,"""42","200""",57,0
1413,Kitengela,"""44","400""",202,0
1414,Mountain View,"""13","000""",50,1
1415,Mugumu-Ini,"""42","400""",56,0
1416,California,"""90","017""",69,1
1417,Mutu-ini,"""41","900""",94,1
1418,Huruma,"""41","700""",70,0
1419,Mathare North,"""26","000""",113,0
1420,Ngando,"""9","000""",52,0
1421,Mowlem,"""9","000""",69,1
1422,Embakasi Central,"""45","000""",53,1
1423,Woodley /Kenyatta Golf Course,"""50","800""",115,0
1424,Embakasi Central,"""22","000""",86,1
1425,Komarock,"""14","000""",62,0
1426,Lindi Makina,"""50","800""",112,1
1427,Komarock,"""55","500""",39,0
1428,Utalii,"""24","000""",51,1
1429,Ruiru,"""123","000""",100,1
1430,Umoja I,"""43","400""",44,0
1431,Kitisuru,"""123","000""",91,1
1432,Makongeni,"""38","918""",84,0
1433,Nairobi South,"""45","200""",37,0
1434,Embakasi South,"""18","000""",88,0
1435,Thika,"""13","000""",57,0
1436,Mowlem,"""42","600""",82,0
1437,Kamukunji,"""62","583""",58,0
1438,Kwa Njenga,"""42","000""",70,1
1439,Karura,"""45","000""",66,0
1440,Imara Daima,"""65","574""",92,1
1441,Dandora Area III,"""48","100""",108,1
1442,Embakasi South,"""13","000""",62,1
1443,Viwandani,"""42","300""",46,1
1444,Matopeni/Spring Valley,"""46","174""",92,1
1445,Korogocho,"""48","100""",47,0
1446,Kwa Njenga,"""16","000""",51,1
1447,Upper Savannah,"""19","000""",104,0
1448,Kasarani,"""19","000""",75,0
1449,Kayole North,"""231","700""",83,0
1450,Lower Savannah,"""12","000""",80,0
1451,Airbase,"""109","890""",68,0
1452,Dandora Area III,"""26","000""",54,1
1453,Starehe,"""42","600""",91,1
1454,Embakasi South,"""16","000""",101,1
1455,Karura,"""24","000""",58,1
1456,Waithaka,"""42","300""",86,0
1457,Eastleigh South,"""41","500""",184,1
1458,California,"""46","174""",45,0
1459,Upper Savannah,"""62","600""",60,0
1460,Clay City,"""40","500""",63,0
1461,Dandora Area I,"""16","000""",65,0
1462,Pangani,"""17","000""",99,0
1463,Mwiki,"""46","600""",102,1
1464,Syokimau,"""17","000""",101,1
1465,Pumwani,"""46","600""",41,0
1466,Utawala,"""41","500""",58,0
1467,Embakasi East,"""42","000""",117,1
1468,Nairobi Central,"""45","400""",44,1
1469,Dandora Area II,"""44","400""",54,0
1470,Kwa Njenga,"""42","400""",98,1
1471,Ngara,"""44","918""",49,0
1472,Eastleigh North,"""63","000""",44,0
1473,Uthiru/Ruthi,"""17","000""",86,1
1474,Roysambu,"""44","000""",107,1
1475,Clay City,"""18","000""",63,0
1476,Westlands,"""22","000""",91,1
1477,Mwiki,"""40","500""",74,0
1478,Westlands,"""63","000""",102,1
1479,Eastleigh North,"""13","000""",59,0
1480,Nairobi Central,"""9","000""",90,1
1481,Kibera,"""14","000""",60,1
1482,Nairobi South,"""46","400""",82,0
1483,Mountain View,"""48","997""",84,1
1484,Starehe,"""14","000""",43,1
1485,Ngando,"""45","000""",63,1
1486,Nairobi South,"""41","600""",51,0
1487,Westlands,"""46","800""",70,0
1488,Embakasi South,"""65","574""",64,0
1489,Nairobi South,"""22","000""",94,1
1490,Sarangombe,"""24","000""",52,0
1491,Embakasi,"""17","000""",64,1
1492,Syokimau,"""42","200""",48,0
1493,Westlands,"""38","918""",47,0
1494,Lindi Makina,"""123","000""",55,0
1495,Kabiro,"""44","200""",62,0
1496,Komarock,"""42","300""",82,1
1497,Uthiru/Ruthi,"""24","000""",75,0
1498,Pumwani,"""48","100""",113,1
1499,Westlands,"""42","600""",29,0
1500,Huruma,"""39","377""",59,0
1501,Pumwani,"""55","500""",70,1
1502,Kasarani,"""52","500""",67,0
1503,Mwiki,"""48","997""",56,0
1504,Airbase,"""17","000""",47,0
1505,Mlango Kubwa,"""16","000""",51,1
1506,Kilimani,"""15","000""",93,1
1507,Nyayo Highrise,"""41","900""",79,0
1508,Clay City,"""62","583""",74,1
1509,California,"""29","000""",118,0
1510,Umoja I,"""42","400""",106,1
1511,Umoja II,"""44","800""",42,1
1512,Mutu-ini,"""45","400""",99,1
1513,Embakasi Central,"""14","000""",78,0
1514,Ziwani/Kariokor,"""24","000""",54,1
1515,Pumwani,"""38","918""",105,0
1516,South C,"""44","000""",103,0
1517,Ziwani/Kariokor,"""41","900""",96,1
1518,Embakasi South,"""65","574""",58,1
1519,Syokimau,"""42","200""",59,0
1520,Embakasi East,"""18","000""",79,1
1521,Mathare North,"""46","200""",92,0
1522,Kibera,"""45","200""",47,0
1523,Mlango Kubwa,"""109","890""",73,0
1524,Riruta,"""13","000""",86,0
1525,Gatina,"""20","000""",81,0
1526,Mabatini,"""90","017""",61,1
1527,Mountain View,"""48","997""",113,1
1528,Pumwani,"""41","500""",87,1
1529,Mwiki,"""19","000""",47,0
1530,Kwa Ruben,"""77","378""",95,1
1531,Kabiro,"""231","700""",92,1
1532,Imara Daima,"""10","000""",38,0
1533,Kariobangi North,"""29","000""",42,1
1534,Githurai,"""109","890""",82,0
1535,Embakasi North,"""17","000""",46,1
1536,Kawangware,"""42","400""",99,1
1537,Kahawa West,"""45","800""",57,0
1538,Utalii,"""38","918""",92,1
1539,Kitisuru,"""45","200""",85,0
1540,Mountain View,"""42","400""",73,0
1541,Ngara,"""42","972""",68,0
1542,Clay City,"""15","000""",78,1
1543,Athi River,"""41","900""",45,0
1544,Kayole Central,"""42","600""",86,0
1545,Imara Daima,"""52","500""",79,0
1546,Umoja II,"""42","200""",102,1
1547,Mugumu-Ini,"""20","000""",48,0
1548,Utawala,"""26","000""",69,0
1549,Umoja I,"""62","583""",71,1
1550,Embakasi East,"""41","900""",62,0
1551,Ngando,"""46","400""",55,1
1552,Woodley /Kenyatta Golf Course,"""52","600""",38,1
1553,Mabatini,"""48","000""",94,1
1554,Dandora Area III,"""46","174""",38,0
1555,Dandora Area III,"""45","400""",111,1
1556,Nairobi Central,"""46","800""",72,1
1557,Embakasi,"""123","000""",104,1
1558,Kahawa West,"""17","000""",60,0
1559,Ngando,"""42","600""",59,0
1560,Kamukunji,"""62","600""",67,0
1561,Matopeni/Spring Valley,"""43","800""",56,0
1562,Kayole South,"""36","037""",64,0
1563,Komarock,"""46","800""",64,1
1564,Maringo/Hamza,"""65","574""",94,1
1565,Airbase,"""15","000""",76,1
1566,Waithaka,"""42","600""",45,0
1567,Laini saba,"""50","800""",73,0
1568,Makadara,"""45","600""",56,1
1569,Karura,"""42","200""",54,0
1570,Embakasi Central,"""42","600""",90,0
1571,Mabatini,"""42","300""",49,0
1572,Embakasi South,"""48","000""",87,1
1573,Dandora Area III,"""19","000""",89,0
1574,Kiamaiko,"""40","500""",66,1
1575,Nairobi Central,"""41","600""",56,1
1576,Nairobi Central,"""42","800""",47,1
1577,Mountain View,"""16","000""",58,1
1578,Mugumu-Ini,"""90","017""",51,0
1579,Eastleigh South,"""123","000""",54,0
1580,Kibera,"""44","400""",57,0
1581,Parklands/Highridge,"""19","000""",31,1
1582,South C,"""90","017""",37,0
1583,Syokimau,"""24","000""",35,0
1584,Mathare North,"""42","400""",93,0
1585,Dandora Area III,"""19","000""",74,0
1586,Riruta,"""41","500""",59,0
1587,Makadara,"""26","000""",39,1
1588,Baba Dogo,"""46","800""",97,1
1589,Kariobangi South,"""23","000""",75,1
1590,Pumwani,"""43","800""",46,0
1591,Laini saba,"""41","800""",103,1
1592,Kayole South,"""21","000""",45,1
1593,Dandora Area II,"""11","000""",118,1
1594,Kibera,"""52","500""",65,1
1595,Kitengela,"""82","972""",107,1
1596,Karura,"""48","100""",114,1
1597,Mountain View,"""65","574""",77,0
1598,Makongeni,"""42","800""",65,1
1599,Kangemi,"""18","000""",65,1
1600,Ruai,"""42","300""",65,0
1601,Mowlem,"""42","200""",62,1
1602,Roysambu,"""14","000""",61,1
1603,Mowlem,"""21","000""",70,0
1604,Baba Dogo,"""42","000""",94,0
1605,Ruiru,"""12","000""",59,0
1606,Upper Savannah,"""18","000""",69,0
1607,Ruai,"""26","000""",67,0
1608,Dandora Area III,"""24","000""",69,1
1609,Huruma,"""45","200""",61,0
1610,Dandora Area III,"""45","000""",89,1
1611,Westlands,"""39","377""",86,1
1612,Mihango,"""15","000""",76,1
1613,Pangani,"""26","000""",50,0
1614,Nairobi South,"""42","500""",53,0
1615,Pumwani,"""45","600""",93,1
1616,Eastleigh North,"""17","000""",108,1
1617,Mathare North,"""12","000""",82,0
1618,Kariobangi North,"""24","000""",50,1
1619,Karen,"""19","000""",56,0
1620,Dandora Area II,"""42","600""",102,1
1621,Uthiru/Ruthi,"""44","800""",80,0
1622,Roysambu,"""44","800""",58,0
1623,Lower Savannah,"""22","000""",107,1
1624,Gatina,"""41","700""",50,0
1625,Pangani,"""39","377""",94,1
1626,Ngei,"""13","000""",116,1
1627,Utalii,"""46","600""",95,1
1628,Mountain View,"""17","000""",100,1
1629,Clay City,"""14","000""",113,1
1630,Lower Savannah,"""44","000""",62,0
1631,Komarock,"""13","000""",98,1
1632,Githurai,"""19","000""",52,0
1633,Maringo/Hamza,"""43","200""",71,0
1634,Kileleshwa,"""48","100""",35,0
1635,Kileleshwa,"""17","000""",87,1
1636,Westlands,"""43","200""",56,0
1637,Mihango,"""17","000""",66,1
1638,Uthiru/Ruthi,"""19","000""",93,1
1639,Mwiki,"""48","100""",64,0
1640,California,"""24","000""",67,0
1641,Kayole South,"""42","400""",107,1
1642,Pangani,"""21","000""",59,0
1643,Utawala,"""14","000""",100,0
1644,Pipeline,"""11","000""",72,0
1645,Umoja I,"""16","000""",77,1
1646,Dandora Area I,"""18","000""",56,0
1647,Starehe,"""52","500""",105,0
1648,Ngara,"""46","600""",61,1
1649,Mugumu-Ini,"""43","400""",59,1
1650,Nairobi Central,"""20","000""",48,1
1651,Ngara,"""45","200""",58,0
1652,Kwa Njenga,"""15","000""",96,1
1653,Matopeni/Spring Valley,"""24","000""",103,1
1654,Kayole South,"""29","000""",76,1
1655,Ruiru,"""46","174""",96,1
1656,Mlango Kubwa,"""65","574""",123,0
1657,Njiru,"""44","600""",100,1
1658,Sarangombe,"""82","972""",101,1
1659,Waithaka,"""77","378""",42,0
1660,Kariobangi North,"""42","800""",115,0
1661,Harambee,"""38","918""",104,1
1662,Roysambu,"""46","400""",55,0
1663,Kariobangi South,"""17","000""",101,0
1664,Mutu-ini,"""45","000""",57,0
1665,Embakasi Central,"""41","600""",60,0
1666,Kayole Central,"""42","972""",68,1
1667,Mountain View,"""46","600""",89,1
1668,Hospital,"""51","890""",112,1
1669,Kileleshwa,"""15","000""",63,1
1670,Dandora Area IV,"""42","800""",75,0
1671,Pipeline,"""23","000""",60,0
1672,Mugumu-Ini,"""15","000""",75,1
1673,Komarock,"""38","918""",90,0
1674,Pipeline,"""123","000""",52,0
1675,Dandora Area III,"""77","378""",113,1
1676,Nairobi Central,"""50","800""",53,0
1677,Kamukunji,"""52","500""",71,0
1678,Dandora Area II,"""39","377""",59,1
1679,Kamukunji,"""23","000""",44,0
1680,Waithaka,"""41","600""",102,0
1681,Ngando,"""15","000""",72,0
1682,Mihango,"""46","174""",117,0
1683,Kiamaiko,"""77","378""",93,1
1684,Pipeline,"""44","918""",54,0
1685,Mihango,"""42","400""",96,0
1686,Starehe,"""42","400""",35,0
1687,Syokimau,"""41","900""",58,0
1688,Kibera,"""44","200""",67,0
1689,Embakasi North,"""39","377""",86,1
1690,Mugumu-Ini,"""55","500""",99,1
1691,Embakasi North,"""43","600""",52,1
1692,Mowlem,"""41","500""",65,0
1693,Kwa Ruben,"""43","000""",69,1
1694,Mugumu-Ini,"""44","200""",65,0
1695,Kileleshwa,"""62","600""",101,0
1696,Pumwani,"""19","000""",86,1
1697,Athi River,"""12","000""",101,1
1698,Embakasi East,"""45","800""",73,1
1699,Ngei,"""41","900""",91,0
1700,Umoja I,"""24","000""",109,1
1701,Kawangware,"""50","800""",100,0
1702,Mihango,"""15","000""",75,0
1703,Matopeni/Spring Valley,"""43","200""",63,0
1704,Imara Daima,"""9","000""",97,0
1705,Landimawe,"""43","200""",41,0
1706,Dandora Area III,"""26","000""",83,0
1707,Thika,"""44","400""",61,1
1708,Harambee,"""26","000""",91,1
1709,Lower Savannah,"""46","200""",86,1
1710,Kangemi,"""12","000""",94,0
1711,Imara Daima,"""21","000""",111,0
1712,Kahawa West,"""18","000""",43,0
1713,Komarock,"""90","017""",91,0
1714,Uthiru/Ruthi,"""65","574""",86,0
1715,Dandora Area II,"""52","500""",71,1
1716,Clay City,"""20","000""",97,0
1717,Zimmerman,"""63","000""",37,0
1718,Uthiru/Ruthi,"""65","574""",107,0
1719,Kariobangi North,"""46","600""",59,1
1720,Westlands,"""48","000""",68,0
1721,Pangani,"""44","400""",81,1
1722,Komarock,"""50","800""",65,1
1723,Nyayo Highrise,"""29","000""",115,0
1724,Nairobi Central,"""55","500""",97,0
1725,Pumwani,"""22","000""",54,1
1726,Clay City,"""22","000""",91,1
1727,Athi River,"""23","000""",92,1
1728,Kayole North,"""12","000""",96,1
1729,Ngei,"""42","200""",119,1
1730,Njiru,"""52","500""",89,1
1731,Baba Dogo,"""43","400""",67,0
1732,Kawangware,"""42","500""",66,0
1733,Utawala,"""109","890""",84,1
1734,Kahawa,"""45","000""",126,1
1735,Ngara,"""45","200""",78,0
1736,Makadara,"""40","500""",99,1
1737,Ruiru,"""42","400""",100,1
1738,Dandora Area I,"""14","000""",109,1
1739,Kawangware,"""123","000""",31,0
1740,Umoja II,"""48","000""",52,1
1741,Dandora Area II,"""43","000""",116,1
1742,Mowlem,"""41","500""",71,1
1743,Clay City,"""43","800""",92,0
1744,Kawangware,"""22","000""",50,0
1745,Woodley /Kenyatta Golf Course,"""46","174""",120,0
1746,Kware,"""41","700""",62,0
1747,Mabatini,"""45","000""",51,0
1748,Lindi Makina,"""231","700""",99,1
1749,Lucky Summer,"""17","000""",60,0
1750,Ngei,"""14","000""",87,1
1751,Airbase,"""43","400""",75,0
1752,Njiru,"""20","000""",96,1
1753,Umoja II,"""16","000""",54,1
1754,Woodley /Kenyatta Golf Course,"""46","400""",84,1
1755,Kayole South,"""43","000""",76,0
1756,Ruai,"""42","500""",51,0
1757,Kwa Ruben,"""51","890""",65,1
1758,Dandora Area III,"""65","574""",50,0
1759,Ruai,"""24","000""",74,1
1760,Kayole Central,"""18","000""",109,1
1761,California,"""55","500""",119,1
1762,Mugumu-Ini,"""10","000""",101,1
1763,Ruai,"""45","600""",66,0
1764,Kabiro,"""9","000""",93,0
1765,Pangani,"""109","890""",38,0
1766,Ruai,"""36","037""",55,1
1767,Maringo/Hamza,"""41","500""",66,1
1768,Kangemi,"""10","000""",107,0
1769,Starehe,"""50","800""",102,0
1770,Ngei,"""44","918""",62,0
1771,Kilimani,"""45","600""",64,0
1772,Thika,"""42","400""",74,0
1773,Airbase,"""19","000""",48,1
1774,Maringo/Hamza,"""46","174""",62,1
1775,Kahawa West,"""11","000""",31,0
1776,Kamukunji,"""36","037""",105,1
1777,Kasarani,"""82","972""",109,1
1778,Starehe,"""23","000""",40,0
1779,Pumwani,"""43","000""",60,1
1780,Mutu-ini,"""21","000""",84,0
1781,Westlands,"""45","800""",41,0
1782,Embakasi North,"""45","800""",76,1
1783,Nairobi South,"""48","100""",101,0
1784,Kware,"""50","800""",79,1
1785,Mlango Kubwa,"""22","000""",74,1
1786,Mwiki,"""45","800""",89,1
1787,Mountain View,"""42","600""",45,0
1788,Njiru,"""41","500""",88,0
1789,Kabiro,"""20","000""",55,0
1790,Nairobi West,"""15","000""",50,0
1791,Kware,"""45","400""",55,1
1792,California,"""41","800""",67,1
1793,Landimawe,"""46","174""",86,1
1794,Kitengela,"""12","000""",47,0
1795,Landimawe,"""50","800""",94,0
1796,Dandora Area II,"""36","037""",116,1
1797,Roysambu,"""42","800""",101,1
1798,Githurai,"""42","800""",52,1
1799,Dandora Area IV,"""90","017""",53,0
1800,Kariobangi South,"""42","600""",70,0
1801,Kayole North,"""38","918""",87,1
1802,Kitisuru,"""46","174""",31,0
1803,Dandora Area II,"""9","000""",63,1
1804,Westlands,"""45","000""",70,1
1805,Ngando,"""42","000""",102,0
1806,Nyayo Highrise,"""46","600""",46,0
1807,Riruta,"""16","000""",105,0
1808,Kitisuru,"""43","000""",64,1
1809,Mountain View,"""45","400""",87,0
1810,Nairobi Central,"""55","500""",38,0
1811,Embakasi,"""15","000""",49,1
1812,Ruai,"""42","400""",65,1
1813,Kariobangi North,"""45","200""",108,1
1814,Mwiki,"""45","400""",38,1
1815,Dandora Area IV,"""19","000""",55,1
1816,Kwa Ruben,"""51","890""",54,0
1817,Kitengela,"""12","000""",50,0
1818,Makadara,"""44","200""",44,0
1819,Dandora Area II,"""90","017""",72,1
1820,Riruta,"""55","500""",67,0
1821,Ziwani/Kariokor,"""19","000""",40,1
1822,Nairobi South,"""48","100""",58,0
1823,Kware,"""10","000""",75,1
1824,Sarangombe,"""45","400""",80,1
1825,Ngara,"""9","000""",100,1
1826,Pumwani,"""65","574""",42,0
1827,Woodley /Kenyatta Golf Course,"""18","000""",68,0
1828,Kileleshwa,"""16","000""",91,0
1829,Utalii,"""15","000""",93,0
1830,Lower Savannah,"""46","174""",88,1
1831,Gatina,"""231","700""",61,0
1832,Maringo/Hamza,"""51","890""",62,0
1833,Kawangware,"""42","972""",94,0
1834,Kabiro,"""42","400""",107,1
1835,Mihango,"""12","000""",60,0
1836,Nairobi South,"""29","000""",60,1
1837,Kariobangi North,"""12","000""",51,1
1838,Kileleshwa,"""12","000""",88,1
1839,Mugumu-Ini,"""42","400""",82,1
1840,Utalii,"""17","000""",94,1
1841,Mountain View,"""12","000""",84,1
1842,Mabatini,"""23","000""",63,1
1843,Dandora Area III,"""63","000""",105,0
1844,Kariobangi South,"""43","800""",43,1
1845,Dandora Area II,"""22","000""",81,0
1846,Maringo/Hamza,"""46","800""",58,0
1847,Lindi Makina,"""18","000""",50,0
1848,Pipeline,"""43","600""",51,0
1849,Dandora Area II,"""18","000""",96,1
1850,Mathare South,"""43","600""",93,0
1851,Ngei,"""29","000""",84,0
1852,Huruma,"""46","800""",79,1
1853,Makongeni,"""42","800""",85,1
1854,Komarock,"""90","017""",78,0
1855,Embakasi East,"""26","000""",89,1
1856,Kayole South,"""14","000""",109,1
1857,Kileleshwa,"""42","800""",77,0
1858,Mlango Kubwa,"""48","997""",54,0
1859,Imara Daima,"""41","600""",72,1
1860,Mugumu-Ini,"""41","600""",83,0
1861,Embakasi,"""14","000""",142,0
1862,Kilimani,"""24","000""",50,1
1863,Umoja II,"""45","000""",61,0
1864,Embakasi North,"""42","000""",50,1
1865,Lucky Summer,"""22","000""",91,1
1866,Syokimau,"""27","000""",89,0
1867,Baba Dogo,"""42","972""",58,1
1868,Kabiro,"""22","000""",91,0
1869,Maringo/Hamza,"""46","400""",31,1
1870,Mihango,"""41","800""",70,1
1871,Huruma,"""42","200""",65,0
1872,Kasarani,"""22","000""",91,0
1873,Komarock,"""43","600""",69,1
1874,Nyayo Highrise,"""24","000""",64,0
1875,Mihango,"""44","918""",97,1
1876,Ngando,"""41","900""",104,1
1877,Kamukunji,"""48","000""",88,0
1878,Starehe,"""43","600""",39,0
1879,Kiamaiko,"""40","500""",100,1
1880,Mountain View,"""45","600""",93,1
1881,Uthiru/Ruthi,"""20","000""",99,0
1882,Njiru,"""26","000""",89,0
1883,Ngara,"""44","200""",95,1
1884,Ngando,"""9","000""",57,0
1885,Kilimani,"""48","100""",58,0
1886,Kamukunji,"""42","600""",91,1
1887,Huruma,"""26","000""",59,0
1888,Zimmerman,"""51","890""",58,0
1889,Upper Savannah,"""46","400""",59,0
1890,Mowlem,"""42","400""",94,1
1891,Viwandani,"""42","600""",53,1
1892,Eastleigh North,"""48","997""",82,0
1893,Umoja II,"""46","000""",55,0
1894,Mathare North,"""27","000""",53,0
1895,Kangemi,"""46","174""",96,1
1896,Umoja I,"""51","890""",68,0
1897,Kayole Central,"""44","800""",92,1
1898,Ruiru,"""20","000""",52,0
1899,Makadara,"""48","100""",60,0
1900,Komarock,"""36","037""",91,1
1901,Umoja II,"""44","600""",55,0
1902,Lucky Summer,"""42","800""",88,0
1903,Mutu-ini,"""42","600""",100,0
1904,Dandora Area II,"""44","400""",55,0
1905,Baba Dogo,"""21","000""",92,1
1906,Matopeni/Spring Valley,"""17","000""",72,1
1907,Laini saba,"""27","000""",104,1
1908,Kangemi,"""55","500""",51,1
1909,Embakasi South,"""44","600""",64,1
1910,Pipeline,"""43","400""",76,1
1911,Komarock,"""48","100""",79,1
1912,Dandora Area I,"""26","000""",79,1
1913,Syokimau,"""42","400""",108,0
1914,Syokimau,"""19","000""",70,0
1915,Dandora Area I,"""14","000""",63,1
1916,Mountain View,"""46","200""",90,0
1917,Thika,"""17","000""",67,0
1918,Pangani,"""46","400""",69,0
1919,Ngando,"""52","500""",50,0
1920,Viwandani,"""42","600""",57,0
1921,Mowlem,"""62","600""",83,0
1922,Lucky Summer,"""44","918""",123,1
1923,Mowlem,"""42","800""",119,0
1924,Athi River,"""10","000""",62,0
1925,Riruta,"""12","000""",48,1
1926,Komarock,"""25","000""",67,0
1927,Embakasi East,"""48","000""",89,1
1928,Kamukunji,"""42","400""",60,1
1929,Gatina,"""46","174""",46,1
1930,Eastleigh South,"""48","997""",68,1
1931,Hospital,"""36","037""",89,0
1932,Sarangombe,"""44","400""",69,0
1933,Utawala,"""20","000""",48,0
1934,Nyayo Highrise,"""62","583""",55,0
1935,Dandora Area I,"""23","000""",67,1
1936,Mabatini,"""12","000""",78,0
1937,Viwandani,"""36","037""",75,0
1938,Kawangware,"""45","200""",65,1
1939,Mabatini,"""44","918""",53,1
1940,Landimawe,"""52","600""",67,0
1941,Embakasi East,"""42","200""",49,0
1942,Utalii,"""20","000""",36,0
1943,Dandora Area I,"""45","200""",116,1
1944,Matopeni/Spring Valley,"""16","000""",91,1
1945,Dandora Area IV,"""46","800""",78,1
1946,Maringo/Hamza,"""12","000""",56,0
1947,Mabatini,"""42","200""",52,0
1948,Dandora Area II,"""44","400""",37,0
1949,Woodley /Kenyatta Golf Course,"""45","000""",55,1
1950,Waithaka,"""10","000""",89,0
1951,Embakasi South,"""90","017""",76,0
1952,Kayole Central,"""50","800""",73,1
1953,Pangani,"""46","000""",66,0
1954,Nairobi South,"""231","700""",103,1
1955,Woodley /Kenyatta Golf Course,"""19","000""",60,0
1956,Kwa Njenga,"""46","600""",113,1
1957,Mihango,"""41","900""",75,0
1958,Kitisuru,"""41","800""",66,1
1959,Dandora Area I,"""52","600""",94,1
1960,Upper Savannah,"""40","500""",85,1
1961,Karura,"""44","000""",52,0
1962,Uthiru/Ruthi,"""14","000""",63,0
1963,Pumwani,"""22","000""",60,1
1964,Dandora Area IV,"""90","017""",73,1
1965,Makongeni,"""26","000""",53,1
1966,Kiamaiko,"""41","900""",113,1
1967,Kware,"""16","000""",85,0
1968,Nairobi Central,"""42","300""",52,1
1969,Karura,"""27","000""",111,1
1970,Kayole North,"""63","000""",116,1
1971,Starehe,"""48","100""",81,0
1972,Mugumu-Ini,"""77","378""",79,0
1973,Githurai,"""19","000""",30,0
1974,Pumwani,"""77","378""",80,0
1975,Kiamaiko,"""43","400""",46,0
1976,Embakasi South,"""17","000""",95,0
1977,Makadara,"""45","400""",46,1
1978,Dandora Area III,"""62","600""",117,0
1979,Kibera,"""19","000""",107,1
1980,Sarangombe,"""20","000""",80,1
1981,Riruta,"""43","000""",69,0
1982,Mabatini,"""26","000""",108,0
1983,Embakasi East,"""27","000""",80,1
1984,Kangemi,"""46","200""",71,0
1985,Lindi Makina,"""43","800""",41,0
1986,Landimawe,"""17","000""",70,0
1987,Eastleigh North,"""51","890""",95,1
1988,Kayole Central,"""41","600""",66,0
1989,Embakasi East,"""44","000""",70,0
1990,Maringo/Hamza,"""24","000""",71,1
1991,Kibera,"""38","918""",87,1
1992,Roysambu,"""42","500""",118,1
1993,Pipeline,"""42","000""",106,1
1994,Lower Savannah,"""36","037""",112,1
1995,Eastleigh North,"""109","890""",91,1
1996,Nyayo Highrise,"""44","000""",66,0
1997,Kariobangi North,"""63","000""",97,0
1998,Kawangware,"""10","000""",104,1
1999,Pangani,"""109","890""",104,1
2000,Lindi Makina,"""90","017""",53,1
2001,Embakasi East,"""42","600""",48,1
2002,Umoja II,"""36","037""",86,0
2003,Mwiki,"""22","000""",89,1
2004,Githurai,"""44","800""",31,0
2005,Viwandani,"""25","000""",64,0
2006,Syokimau,"""20","000""",76,0
2007,Huruma,"""45","200""",54,0
2008,Korogocho,"""46","600""",69,1
2009,Baba Dogo,"""45","600""",53,0
2010,Lindi Makina,"""16","000""",51,0
2011,Kayole Central,"""22","000""",99,1
2012,Ruai,"""38","918""",91,1
2013,Upper Savannah,"""41","800""",45,0
2014,California,"""42","600""",102,0
2015,Thika,"""19","000""",36,0
2016,Woodley /Kenyatta Golf Course,"""42","800""",60,0
2017,Huruma,"""46","600""",45,0
2018,Pipeline,"""17","000""",81,0
2019,Kibera,"""46","200""",39,0
2020,Utawala,"""21","000""",93,1
2021,Kawangware,"""48","100""",44,0
2022,Kahawa,"""26","000""",72,0
2023,Kwa Ruben,"""46","000""",48,0
2024,Kabiro,"""41","700""",35,0
2025,Imara Daima,"""13","000""",100,1
2026,Dandora Area II,"""42","800""",88,0
2027,Baba Dogo,"""38","918""",50,1
2028,Lindi Makina,"""46","400""",56,0
2029,Westlands,"""62","583""",113,1
2030,Kiamaiko,"""42","300""",55,1
2031,Laini saba,"""16","000""",53,1
2032,Dandora Area II,"""42","600""",63,1
2033,Dandora Area I,"""12","000""",96,1
2034,Sarangombe,"""48","997""",42,1
2035,Kariobangi South,"""65","574""",53,0
2036,Upper Savannah,"""23","000""",68,0
2037,Kayole North,"""41","700""",61,1
2038,Westlands,"""90","017""",58,0
2039,Kayole Central,"""23","000""",58,1
2040,Huruma,"""42","600""",94,1
2041,Dandora Area II,"""41","500""",56,1
2042,Parklands/Highridge,"""41","500""",43,1
2043,Dandora Area II,"""42","500""",57,0
2044,Athi River,"""123","000""",70,0
2045,Nairobi West,"""23","000""",66,1
2046,Makongeni,"""62","600""",113,0
2047,Syokimau,"""231","700""",81,0
2048,Lower Savannah,"""42","400""",74,1
2049,Hospital,"""19","000""",53,0
2050,Matopeni/Spring Valley,"""19","000""",97,0
2051,Roysambu,"""42","200""",72,0
2052,Kawangware,"""52","600""",58,0
2053,Nyayo Highrise,"""48","000""",83,1
2054,South C,"""46","800""",40,0
2055,Karen,"""18","000""",69,0
2056,Ngara,"""77","378""",89,0
2057,Kariobangi South,"""29","000""",107,1
2058,Kabiro,"""19","000""",100,0
2059,Ngara,"""18","000""",105,1
2060,Mathare North,"""42","800""",80,0
2061,Dandora Area I,"""42","300""",77,0
2062,Ruai,"""46","400""",68,0
2063,Eastleigh South,"""23","000""",106,1
2064,Karura,"""44","918""",115,1
2065,Njiru,"""16","000""",116,1
2066,Mlango Kubwa,"""43","400""",40,0
2067,Umoja I,"""52","500""",67,1
2068,Pumwani,"""42","800""",76,0
2069,Mlango Kubwa,"""63","000""",42,0
